epoch,accuracy,loss,val_accuracy,val_loss
0,0.4804871380329132,1.1787018775939941,0.5706051588058472,1.040732502937317
1,0.6504290103912354,0.8496083617210388,0.5216138362884521,1.114561676979065
2,0.7329089641571045,0.684249222278595,0.5706051588058472,1.1128250360488892
3,0.7960143685340881,0.5317636132240295,0.5561959743499756,1.1041253805160522
4,0.8317188024520874,0.45054101943969727,0.579250693321228,1.2886031866073608
5,0.8718516230583191,0.35536810755729675,0.5648415088653564,1.4710642099380493
6,0.8737890720367432,0.3273199498653412,0.5734870433807373,1.4186803102493286
7,0.9094935059547424,0.25637614727020264,0.5965417623519897,1.4769853353500366
8,0.9238859415054321,0.2170190066099167,0.5734870433807373,1.69325590133667
9,0.9305286407470703,0.19894324243068695,0.5561959743499756,1.778494954109192
10,0.9388319849967957,0.17830172181129456,0.5446686148643494,1.8545185327529907
11,0.948519229888916,0.15311643481254578,0.5619596838951111,1.9808179140090942
12,0.94768887758255,0.1454247534275055,0.5446686148643494,2.2443408966064453
13,0.9523941278457642,0.1372976005077362,0.5561959743499756,2.0928521156311035
14,0.9634652733802795,0.12052643299102783,0.559077799320221,2.3432466983795166
15,0.9673401713371277,0.10150903463363647,0.5706051588058472,2.255460500717163
16,0.9609742760658264,0.10820012539625168,0.559077799320221,2.5980334281921387
17,0.9620813727378845,0.1117987185716629,0.5706051588058472,2.4441945552825928
18,0.9687240719795227,0.08802032470703125,0.5706051588058472,2.374337673187256
19,0.9701079726219177,0.08445236831903458,0.5446686148643494,2.605165481567383
20,0.9759202599525452,0.07409989088773727,0.5706051588058472,2.5374531745910645
21,0.976473867893219,0.07311085611581802,0.5331411957740784,2.4932451248168945
22,0.9789648652076721,0.06234358251094818,0.5994236469268799,2.517554521560669
23,0.9775809645652771,0.06836650520563126,0.5965417623519897,2.460097312927246
24,0.9670633673667908,0.09751693904399872,0.5561959743499756,2.7720186710357666
