epoch,accuracy,loss,val_accuracy,val_loss
0,0.38084694743156433,1.3240333795547485,0.4524495601654053,1.2838464975357056
1,0.639911413192749,0.990838348865509,0.651296854019165,0.9352748394012451
2,0.8032106161117554,0.5779464840888977,0.680115282535553,0.7891146540641785
3,0.845004141330719,0.4214162528514862,0.6829971075057983,0.7916263937950134
4,0.8737890720367432,0.34012094140052795,0.7060518860816956,0.8293253183364868
5,0.9039579033851624,0.2744584381580353,0.6916426420211792,0.8798444867134094
6,0.9211181998252869,0.23160754144191742,0.6829971075057983,0.9537602663040161
7,0.9377248883247375,0.19020281732082367,0.6657060384750366,1.0517468452453613
8,0.9446443319320679,0.17164921760559082,0.6858789920806885,1.0556044578552246
9,0.9568225741386414,0.14343637228012085,0.6628242135047913,1.1099276542663574
10,0.9618045687675476,0.12546850740909576,0.6685879230499268,1.1754093170166016
11,0.9670633673667908,0.11478249728679657,0.680115282535553,1.2361472845077515
12,0.9717686176300049,0.10442407429218292,0.6541786789894104,1.246169090270996
13,0.9703847169876099,0.09782339632511139,0.6599423885345459,1.3086531162261963
14,0.9692776203155518,0.09393659234046936,0.6570605039596558,1.3709795475006104
15,0.972045361995697,0.09080886840820312,0.6829971075057983,1.360253930091858
16,0.9745364189147949,0.08254372328519821,0.6685879230499268,1.3861030340194702
17,0.9761970639228821,0.07794912159442902,0.6887608170509338,1.3932651281356812
18,0.976473867893219,0.07538273930549622,0.6541786789894104,1.4406121969223022
19,0.9761970639228821,0.07196026295423508,0.6714697480201721,1.4551761150360107
20,0.9773041605949402,0.0712948888540268,0.6829971075057983,1.4940448999404907
21,0.9792416095733643,0.06762169301509857,0.6714697480201721,1.517209768295288
22,0.9775809645652771,0.07068660110235214,0.6743515729904175,1.5801891088485718
23,0.9767506122589111,0.06559664011001587,0.680115282535553,1.5454500913619995
24,0.9773041605949402,0.06266377866268158,0.6541786789894104,1.585374116897583
